sym,minute,avgMid,avgSpread,avgSpreadBps,quoteCount
AAPL,05:30,185.4984,0.035256,1.900624,3430
AAPL,05:35,185.4954,0.03549403,1.913539,3507
AAPL,05:40,185.5122,0.03463709,1.867136,3359
AAPL,05:45,185.5118,0.03523589,1.899397,3506
AAPL,05:50,185.5045,0.03540397,1.908467,3397
AAPL,05:55,185.5058,0.03491547,1.882112,3531
AAPL,06:00,185.4881,0.03517417,1.896388,3514
AAPL,06:05,185.4786,0.03522162,1.898966,3449
AAPL,06:10,185.4898,0.03524077,1.8999,3487
AAPL,06:15,185.505,0.0351403,1.894338,3457
AAPL,06:20,185.5065,0.0347945,1.875595,3513
AAPL,06:25,185.5058,0.03478646,1.875291,3385
AAPL,06:30,185.502,0.03508066,1.891148,3481
AAPL,06:35,185.5114,0.03487662,1.880026,3483
AAPL,06:40,185.5137,0.0352468,1.899996,3476
AAPL,06:45,185.4958,0.03476944,1.87436,3428
AAPL,06:50,185.5003,0.03524457,1.899952,3641
AAPL,06:55,185.5118,0.03528343,1.901919,3370
AAPL,07:00,185.5057,0.03518394,1.896671,3464
AAPL,07:05,185.5005,0.03520407,1.897732,3461
AAPL,07:10,185.5057,0.03496535,1.884829,3449
AAPL,07:15,185.5021,0.03483649,1.877912,3411
AAPL,07:20,185.4946,0.03480232,1.876149,3387
AAPL,07:25,185.4963,0.03501241,1.88744,3404
AAPL,07:30,185.5065,0.03483027,1.877556,3487
AAPL,07:35,185.4981,0.03540986,1.908865,3516
AAPL,07:40,185.5075,0.03498529,1.885871,3524
AAPL,07:45,185.5208,0.03481239,1.876537,3531
AAPL,07:50,185.4991,0.03476355,1.874039,3427
AAPL,07:55,185.4889,0.03524404,1.900135,3401
AAPL,08:00,185.4954,0.03440075,1.854548,3323
AAPL,08:05,185.515,0.03455425,1.862619,3364
AAPL,08:10,185.4937,0.03524533,1.900057,3605
AAPL,08:15,185.4976,0.03507962,1.891214,3466
AAPL,08:20,185.4931,0.03527548,1.901758,3366
AAPL,08:25,185.4963,0.03480317,1.876293,3480
AAPL,08:30,185.498,0.03467059,1.869023,3370
AAPL,08:35,185.5011,0.03521031,1.898134,3427
AAPL,08:40,185.5027,0.03563657,1.921049,3444
AAPL,08:45,185.5043,0.03498233,1.885763,3362
AAPL,08:50,185.4939,0.03512196,1.893439,3543
AAPL,08:55,185.4837,0.03498721,1.886246,3522
AAPL,09:00,185.5057,0.03520211,1.897617,3557
AAPL,09:05,185.5042,0.03488693,1.880671,3567
AAPL,09:10,185.5057,0.03519837,1.897464,3438
AAPL,09:15,185.5047,0.03495211,1.884234,3461
AAPL,09:20,185.5043,0.03510531,1.892383,3412
AAPL,09:25,185.4992,0.03490643,1.881859,3516
AAPL,09:30,185.4972,0.03499687,1.886708,3527
AAPL,09:35,185.492,0.03515418,1.895215,3500
AAPL,09:40,185.5049,0.03486343,1.879417,3437
AAPL,09:45,185.4997,0.03479456,1.875717,3469
AAPL,09:50,185.4996,0.03495447,1.884334,3556
AAPL,09:55,185.5082,0.03533752,1.90497,3454
AAPL,10:00,185.5001,0.03545331,1.911246,3442
AAPL,10:05,185.4932,0.03482281,1.877335,3439
AAPL,10:10,185.498,0.03469878,1.870537,3509
AAPL,10:15,185.4923,0.0349367,1.883529,3446
AAPL,10:20,185.488,0.03501086,1.887487,3430
AAPL,10:25,185.5009,0.03495062,1.884136,3398
AAPL,10:30,185.5136,0.03497078,1.885064,3489
AAPL,10:35,185.5061,0.03492215,1.88253,3528
AAPL,10:40,185.4825,0.0350141,1.88777,3471
AAPL,10:45,185.5037,0.03486322,1.879422,3494
AAPL,10:50,185.4961,0.0353965,1.908267,3435
AAPL,10:55,185.5022,0.03484063,1.878195,3470
AAPL,11:00,185.4974,0.03534463,1.905414,3299
AAPL,11:05,185.5027,0.03489419,1.881081,3443
AAPL,11:10,185.4997,0.03550889,1.914296,3481
AAPL,11:15,185.4927,0.03494275,1.883795,3475
AAPL,11:20,185.4962,0.03497987,1.885677,3463
AAPL,11:25,185.4875,0.03493725,1.883556,3457
AAPL,11:30,185.4878,0.03511224,1.892983,3485
AAPL,11:35,185.4929,0.03500584,1.887219,3451
AAPL,11:40,185.5265,0.03505278,1.889337,3520
AAPL,11:45,185.5036,0.03442822,1.855921,3427
AAPL,11:50,185.5008,0.03488293,1.880441,3512
AAPL,11:55,185.5102,0.03464336,1.867549,3514
AAPL,12:00,185.5139,0.03505724,1.889668,3416
AAPL,12:05,185.4955,0.03487421,1.880079,3501
AAPL,12:10,185.4978,0.03560042,1.919219,3391
AAPL,12:15,185.4972,0.0349785,1.885657,3419
AAPL,12:20,185.5005,0.03527116,1.901391,3603
AAPL,12:25,185.5017,0.03506792,1.890471,3520
AAPL,12:30,185.5023,0.03520149,1.897725,3382
AAPL,12:35,185.5121,0.03527132,1.901333,3392
AAPL,12:40,185.4931,0.03485759,1.879152,3492
AAPL,12:45,185.4908,0.03507546,1.890973,3540
AAPL,12:50,185.4966,0.03489637,1.881218,3515
AAPL,12:55,185.4994,0.03502115,1.887947,3459
AAPL,13:00,185.5163,0.0342452,1.845955,3457
AAPL,13:05,185.4738,0.03509193,1.892024,3459
AAPL,13:10,185.5066,0.03515167,1.89497,3556
AAPL,13:15,185.4946,0.03496863,1.885196,3379
AAPL,13:20,185.4883,0.03545229,1.911307,3497
AAPL,13:25,185.4991,0.03510945,1.892716,3484
AAPL,13:30,185.4853,0.03500428,1.887176,3438
AAPL,13:35,185.4979,0.03504041,1.888922,3403
AAPL,13:40,185.4893,0.03579855,1.929915,3413
AAPL,13:45,185.4929,0.03498275,1.885933,3373
AAPL,13:50,185.4991,0.03473581,1.872575,3493
AAPL,13:55,185.5003,0.03462607,1.866659,3511
AAPL,14:00,185.4954,0.03459227,1.864929,3350
AAPL,14:05,185.4937,0.03491178,1.882153,3531
AAPL,14:10,185.4983,0.03553753,1.91579,3453
AAPL,14:15,185.5007,0.03481818,1.876943,3444
AAPL,14:20,185.5022,0.03504082,1.888951,3474
AAPL,14:25,185.4988,0.03519611,1.897373,3519
AAPL,14:30,185.4997,0.0352576,1.900679,3476
AAPL,14:35,185.4947,0.03483073,1.877738,3517
AAPL,14:40,185.5208,0.03472842,1.871887,3517
AAPL,14:45,185.4835,0.03491537,1.88242,3488
AAPL,14:50,185.4933,0.03494423,1.883838,3530
AAPL,14:55,185.4921,0.03464502,1.867772,3475
AAPL,15:00,185.4967,0.03504408,1.889294,3471
AAPL,15:05,185.5051,0.034974,1.885353,3680
AAPL,15:10,185.5144,0.03501433,1.887446,3492
AAPL,15:15,185.5178,0.0348722,1.879789,3450
AAPL,15:20,185.4975,0.03461798,1.866258,3513
AAPL,15:25,185.493,0.03503183,1.888675,3372
AAPL,15:30,185.4882,0.03502104,1.888049,3528
AAPL,15:35,185.4901,0.03500978,1.887491,3466
AAPL,15:40,185.5051,0.03501696,1.887692,3501
AAPL,15:45,185.4863,0.03507838,1.891175,3410
AAPL,15:50,185.5023,0.03501696,1.887745,3482
AAPL,15:55,185.4963,0.03496891,1.885153,3461
AAPL,16:00,185.511,0.03516918,1.895848,3478
AAPL,16:05,185.4951,0.03539873,1.908352,3555
AAPL,16:10,185.4987,0.03472376,1.871964,3468
AAPL,16:15,185.4994,0.0346109,1.865874,3579
AAPL,16:20,185.4986,0.03510233,1.892349,3455
AAPL,16:25,185.5047,0.03499886,1.886717,3430
AAPL,16:30,185.4976,0.03496949,1.885221,3571
AAPL,16:35,185.4909,0.0351176,1.893194,3448
AAPL,16:40,185.4939,0.03523693,1.899705,3523
AAPL,16:45,185.4962,0.03489601,1.881224,3522
AAPL,16:50,185.4884,0.03495596,1.884543,3354
AAPL,16:55,185.4934,0.03477041,1.874594,3488
AAPL,17:00,185.5126,0.03511213,1.892709,3492
AAPL,17:05,185.4892,0.03512445,1.89365,3483
AAPL,17:10,185.4974,0.03510598,1.892547,3570
AAPL,17:15,185.4938,0.03524113,1.899846,3404
AAPL,17:20,185.5035,0.03479779,1.875922,3421
AAPL,17:25,185.499,0.03499595,1.886576,3477
AAPL,17:30,185.5035,0.03500792,1.887173,3580
AAPL,17:35,185.5052,0.03482944,1.877563,3447
AAPL,17:40,185.5137,0.03506273,1.89005,3485
AAPL,17:45,185.5105,0.03521657,1.898394,3425
AAPL,17:50,185.4928,0.03479554,1.875822,3467
AAPL,17:55,185.4908,0.03462433,1.866662,3436
AAPL,18:00,185.4881,0.03516054,1.895622,3469
AAPL,18:05,185.4917,0.03530759,1.903484,3419
AAPL,18:10,185.4965,0.03538065,1.907386,3454
AAPL,18:15,185.493,0.03496295,1.884929,3597
AAPL,18:20,185.5024,0.03460928,1.865703,3454
AAPL,18:25,185.5051,0.03512942,1.8937,3453
AAPL,18:30,185.4974,0.03510645,1.892571,3577
AAPL,18:35,185.5011,0.0352925,1.902622,3486
AAPL,18:40,185.5084,0.03460937,1.865706,3378
AAPL,18:45,185.5106,0.03507033,1.890472,3381
AAPL,18:50,185.5033,0.03488889,1.880805,3506
AAPL,18:55,185.5081,0.03550891,1.914179,3458
AAPL,19:00,185.5068,0.03524597,1.89995,3309
AAPL,19:05,185.4947,0.0348643,1.879586,3495
AAPL,19:10,185.4989,0.03539016,1.907841,3417
AAPL,19:15,185.4955,0.03481413,1.876846,3576
AAPL,19:20,185.509,0.03485176,1.878748,3482
AAPL,19:25,185.5094,0.03504161,1.888994,3544
AAPL,19:30,185.4905,0.0349244,1.882816,3549
AAPL,19:35,185.507,0.03528615,1.902072,3445
AAPL,19:40,185.502,0.03494396,1.883803,3542
AAPL,19:45,185.4828,0.03548443,1.913076,3428
AAPL,19:50,185.5178,0.03494018,1.883475,3496
AAPL,19:55,185.4978,0.03485011,1.878752,3517
AAPL,20:00,185.499,0.0347521,1.873415,3471
AAPL,20:05,185.4907,0.03495086,1.884282,3465
AAPL,20:10,185.5037,0.03442917,1.855935,3453
AAPL,20:15,185.4935,0.03519305,1.897284,3428
AAPL,20:20,185.5076,0.03485583,1.878995,3484
AAPL,20:25,185.49,0.03500895,1.887358,3425
AAPL,20:30,185.4903,0.03464774,1.867889,3520
AAPL,20:35,185.5044,0.03529525,1.902617,3475
AAPL,20:40,185.5013,0.0349153,1.882199,3504
AAPL,20:45,185.5114,0.03488559,1.880486,3584
AAPL,20:50,185.4995,0.03526651,1.901206,3421
AAPL,20:55,185.5,0.03484215,1.878289,3530
AAPL,21:00,185.5016,0.03534572,1.90543,3452
AAPL,21:05,185.4879,0.03481917,1.877198,3568
AAPL,21:10,185.4809,0.03471127,1.871454,3496
AAPL,21:15,185.4912,0.03484591,1.878566,3501
AAPL,21:20,185.5033,0.03529181,1.902542,3551
AAPL,21:25,185.5037,0.03477559,1.874631,3618
AAPL,21:30,185.508,0.03489879,1.881363,3448
AAPL,21:35,185.4947,0.03535001,1.905778,3453
AAPL,21:40,185.5046,0.03513724,1.894158,3458
AAPL,21:45,185.5184,0.03451602,1.860576,3536
AAPL,21:50,185.5041,0.03502763,1.888234,3563
AAPL,21:55,185.5011,0.035097,1.892065,3392
AAPL,22:00,185.4951,0.03472768,1.872144,3369
AAPL,22:05,185.4907,0.03488938,1.880921,3559
AAPL,22:10,185.4899,0.0349812,1.886015,3384
AAPL,22:15,185.5085,0.03524931,1.900155,3368
AAPL,22:20,185.5075,0.03510027,1.892122,3447
AAPL,22:25,185.4998,0.03480056,1.876082,3417
AAPL,22:30,185.5033,0.0347296,1.872256,3472
AAPL,22:35,185.5106,0.03456104,1.863033,3483
AAPL,22:40,185.5048,0.03507157,1.890534,3555
AAPL,22:45,185.4967,0.03554429,1.916211,3460
AAPL,22:50,185.4967,0.03479675,1.875864,3509
AAPL,22:55,185.493,0.03511312,1.89301,3406
AAPL,23:00,185.5056,0.035348,1.905575,3501
AAPL,23:05,185.5029,0.03515638,1.89517,3410
AAPL,23:10,185.5021,0.03488079,1.880345,3559
AAPL,23:15,185.5043,0.03504917,1.889392,3473
AAPL,23:20,185.4906,0.03500973,1.887398,3558
AAPL,23:25,185.4966,0.03486897,1.879774,3432
AAPL,23:30,185.4877,0.03517224,1.896208,3383
AAPL,23:35,185.5061,0.03544233,1.910649,3497
AAPL,23:40,185.5084,0.03512157,1.89321,3543
AAPL,23:45,185.4893,0.03474287,1.87302,3521
AAPL,23:50,185.5063,0.03488463,1.880488,3471
AAPL,23:55,185.5196,0.03493349,1.883084,3402
AMZN,00:00,185.3149,0.03482155,1.879087,3474
AMZN,00:05,185.2856,0.0350414,1.891241,3458
AMZN,00:10,185.2936,0.0345328,1.863739,3501
AMZN,00:15,185.2913,0.03510233,1.894466,3376
AMZN,00:20,185.3049,0.03481608,1.878829,3476
AMZN,00:25,185.2971,0.03504308,1.891215,3439
AMZN,00:30,185.3013,0.03486198,1.881327,3557
AMZN,00:35,185.3045,0.034963,1.886776,3454
AMZN,00:40,185.3171,0.03499949,1.888708,3360
AMZN,00:45,185.287,0.03462097,1.868588,3422
AMZN,00:50,185.291,0.03538462,1.909675,3518
AMZN,00:55,185.3014,0.03496279,1.886845,3500
AMZN,01:00,185.2987,0.03527206,1.903529,3315
AMZN,01:05,185.3084,0.03482388,1.879225,3446
AMZN,01:10,185.2995,0.03514277,1.89657,3584
AMZN,01:15,185.307,0.03477502,1.876574,3326
AMZN,01:20,185.3004,0.03481682,1.878949,3452
AMZN,01:25,185.2834,0.03522736,1.90129,3446
AMZN,01:30,185.293,0.03510127,1.894416,3427
AMZN,01:35,185.3111,0.03535931,1.90809,3553
AMZN,01:40,185.2899,0.03473429,1.874581,3477
AMZN,01:45,185.3043,0.03529491,1.90469,3361
AMZN,01:50,185.3043,0.03498128,1.88779,3576
AMZN,01:55,185.296,0.03487309,1.882088,3530
AMZN,02:00,185.3282,0.03487464,1.881795,3556
AMZN,02:05,185.2947,0.0352672,1.90335,3376
AMZN,02:10,185.2983,0.03461991,1.868368,3551
AMZN,02:15,185.3154,0.03495825,1.886444,3473
AMZN,02:20,185.3073,0.03470217,1.872753,3466
AMZN,02:25,185.3037,0.03531444,1.905824,3428
AMZN,02:30,185.3046,0.03508534,1.893387,3484
AMZN,02:35,185.2958,0.035099,1.894233,3448
AMZN,02:40,185.2958,0.03483306,1.879829,3479
AMZN,02:45,185.2947,0.03486397,1.881574,3427
AMZN,02:50,185.3185,0.03529784,1.904714,3529
AMZN,02:55,185.2955,0.03497527,1.887594,3399
AMZN,03:00,185.2896,0.03533739,1.907176,3510
AMZN,03:05,185.2961,0.03515,1.896988,3478
AMZN,03:10,185.3,0.03495475,1.886431,3553
AMZN,03:15,185.2998,0.03487447,1.882038,3466
AMZN,03:20,185.2928,0.03451145,1.862581,3493
AMZN,03:25,185.3062,0.03508778,1.893489,3436
AMZN,03:30,185.3033,0.03499156,1.88837,3513
AMZN,03:35,185.2984,0.03481479,1.878807,3399
AMZN,03:40,185.2922,0.03501598,1.889751,3408
AMZN,03:45,185.2903,0.0348287,1.879733,3501
AMZN,03:50,185.315,0.03510826,1.894608,3441
AMZN,03:55,185.3095,0.03504333,1.891093,3569
AMZN,04:00,185.2912,0.03466028,1.870629,3475
AMZN,04:05,185.2856,0.03491137,1.884215,3472
AMZN,04:10,185.2857,0.03511387,1.895161,3416
AMZN,04:15,185.3106,0.03496866,1.886983,3491
AMZN,04:20,185.3072,0.03498356,1.887933,3433
AMZN,04:25,185.3104,0.0354313,1.912039,3434
AMZN,04:30,185.3064,0.03521852,1.90056,3429
AMZN,04:35,185.2861,0.0350435,1.891296,3509
AMZN,04:40,185.2991,0.03504069,1.891019,3370
AMZN,04:45,185.3072,0.03503175,1.890543,3454
AMZN,04:50,185.3019,0.03482084,1.879108,3506
AMZN,04:55,185.3066,0.03481851,1.879038,3518
AMZN,05:00,185.3071,0.0345097,1.862385,3472
AMZN,05:05,185.3012,0.034846,1.880466,3523
AMZN,05:10,185.2974,0.03443512,1.858415,3414
AMZN,05:15,185.2982,0.03463897,1.869426,3535
AMZN,05:20,185.2806,0.03467069,1.871259,3521
AMZN,05:25,185.3127,0.03504462,1.891108,3442
AMZN,05:30,185.2986,0.03499475,1.888558,3368
AMZN,05:35,185.2985,0.03489817,1.88339,3548
AMZN,05:40,185.3017,0.03540414,1.910623,3499
AMZN,05:45,185.2991,0.03518554,1.898836,3474
AMZN,05:50,185.3094,0.03495144,1.886124,3554
AMZN,05:55,185.2935,0.03490447,1.883755,3498
AMZN,06:00,185.2962,0.0352405,1.901939,3538
AMZN,06:05,185.2949,0.03531197,1.905823,3577
AMZN,06:10,185.3036,0.03492442,1.884717,3467
AMZN,06:15,185.3189,0.03472658,1.873841,3491
AMZN,06:20,185.3011,0.03493984,1.885602,3397
AMZN,06:25,185.3131,0.03529413,1.904572,3560
AMZN,06:30,185.3024,0.03462582,1.868682,3465
AMZN,06:35,185.3053,0.03502574,1.890174,3497
AMZN,06:40,185.3041,0.03471709,1.87354,3426
AMZN,06:45,185.2958,0.03501881,1.889874,3448
AMZN,06:50,185.3009,0.03517188,1.898122,3490
AMZN,06:55,185.2927,0.0352186,1.900828,3441
AMZN,07:00,185.3109,0.0347406,1.874768,3494
AMZN,07:05,185.302,0.03504284,1.891124,3389
AMZN,07:10,185.2887,0.03465054,1.870091,3527
AMZN,07:15,185.3042,0.03505525,1.891696,3413
AMZN,07:20,185.3152,0.03492245,1.884478,3420
AMZN,07:25,185.3061,0.03488617,1.88264,3491
AMZN,07:30,185.2968,0.03538184,1.909526,3457
AMZN,07:35,185.3001,0.03500354,1.889012,3514
AMZN,07:40,185.2985,0.0346932,1.872287,3514
AMZN,07:45,185.2992,0.0350802,1.89318,3502
AMZN,07:50,185.2972,0.03484375,1.880443,3451
AMZN,07:55,185.2965,0.03536751,1.908748,3425
AMZN,08:00,185.3085,0.03505236,1.891544,3556
AMZN,08:05,185.3157,0.0353889,1.909698,3486
AMZN,08:10,185.3086,0.03448748,1.861125,3491
AMZN,08:15,185.3059,0.03497624,1.887474,3443
AMZN,08:20,185.3029,0.03505447,1.891743,3418
AMZN,08:25,185.2981,0.03537617,1.90915,3492
AMZN,08:30,185.3029,0.03511005,1.894781,3393
AMZN,08:35,185.3053,0.03533481,1.906804,3587
AMZN,08:40,185.3029,0.03463112,1.86891,3438
AMZN,08:45,185.2791,0.03552911,1.917608,3321
AMZN,08:50,185.3113,0.03460432,1.867385,3464
AMZN,08:55,185.3073,0.03504093,1.89099,3442
AMZN,09:00,185.3027,0.03517344,1.898189,3400
AMZN,09:05,185.2924,0.03516164,1.89761,3384
AMZN,09:10,185.3009,0.03555285,1.918658,3545
AMZN,09:15,185.2957,0.03504823,1.891479,3496
AMZN,09:20,185.3013,0.03549532,1.915572,3449
AMZN,09:25,185.2937,0.03521688,1.900597,3543
AMZN,09:30,185.3057,0.03450406,1.862025,3397
AMZN,09:35,185.3127,0.03481646,1.878788,3504
AMZN,09:40,185.2974,0.03514814,1.896836,3455
AMZN,09:45,185.3023,0.03475044,1.875388,3445
AMZN,09:50,185.2947,0.03506923,1.892658,3473
AMZN,09:55,185.2934,0.03501727,1.889742,3490
AMZN,10:00,185.2961,0.03475274,1.875535,3426
AMZN,10:05,185.3029,0.0351598,1.897455,3458
AMZN,10:10,185.3128,0.0346029,1.867282,3487
AMZN,10:15,185.3058,0.03531951,1.906044,3572
AMZN,10:20,185.2954,0.03529219,1.904644,3424
AMZN,10:25,185.3104,0.03482953,1.879472,3390
AMZN,10:30,185.301,0.03510506,1.894488,3312
AMZN,10:35,185.314,0.03494048,1.885495,3433
AMZN,10:40,185.3083,0.0350976,1.894023,3540
AMZN,10:45,185.3155,0.03480361,1.878036,3400
AMZN,10:50,185.3083,0.03524563,1.902073,3559
AMZN,10:55,185.3037,0.03496712,1.887023,3398
AMZN,11:00,185.3047,0.03456619,1.865375,3423
AMZN,11:05,185.3089,0.03474389,1.874905,3521
AMZN,11:10,185.3006,0.03493475,1.885257,3457
AMZN,11:15,185.3056,0.03499514,1.888552,3474
AMZN,11:20,185.3071,0.0348124,1.878639,3497
AMZN,11:25,185.3029,0.03511735,1.895109,3443
AMZN,11:30,185.2967,0.03484867,1.880707,3399
AMZN,11:35,185.3029,0.03521034,1.900154,3439
AMZN,11:40,185.2952,0.0353903,1.909982,3613
AMZN,11:45,185.2864,0.03517983,1.898704,3429
AMZN,11:50,185.2889,0.03499931,1.888988,3508
AMZN,11:55,185.3094,0.03480262,1.878078,3378
AMZN,12:00,185.3096,0.0352205,1.900676,3490
AMZN,12:05,185.3165,0.03485516,1.880839,3407
AMZN,12:10,185.2949,0.03477013,1.87654,3480
AMZN,12:15,185.2804,0.03490092,1.883716,3538
AMZN,12:20,185.302,0.03508776,1.893585,3479
AMZN,12:25,185.3041,0.0346562,1.870262,3441
AMZN,12:30,185.3102,0.03495606,1.886405,3475
AMZN,12:35,185.3037,0.03539734,1.910285,3525
AMZN,12:40,185.2924,0.03468749,1.872068,3541
AMZN,12:45,185.3059,0.03514897,1.89684,3516
AMZN,12:50,185.2909,0.03508066,1.893297,3325
AMZN,12:55,185.286,0.03513858,1.896446,3428
AMZN,13:00,185.3016,0.03505939,1.892077,3503
AMZN,13:05,185.3078,0.03539067,1.909847,3373
AMZN,13:10,185.2979,0.03481464,1.878903,3485
AMZN,13:15,185.3061,0.03521377,1.900284,3496
AMZN,13:20,185.2927,0.03517415,1.89831,3475
AMZN,13:25,185.3052,0.03542223,1.911584,3455
AMZN,13:30,185.3085,0.03474451,1.874962,3406
AMZN,13:35,185.2885,0.03514443,1.896735,3362
AMZN,13:40,185.2967,0.03518705,1.899032,3485
AMZN,13:45,185.3018,0.03475273,1.875446,3366
AMZN,13:50,185.2958,0.03496223,1.886847,3460
AMZN,13:55,185.2961,0.03477619,1.876795,3558
AMZN,14:00,185.3027,0.03516739,1.897828,3476
AMZN,14:05,185.3011,0.0344758,1.860521,3508
AMZN,14:10,185.3097,0.03552623,1.917212,3498
AMZN,14:15,185.2949,0.03475016,1.875416,3426
AMZN,14:20,185.2982,0.03488505,1.882757,3453
AMZN,14:25,185.2991,0.03492223,1.884711,3479
AMZN,14:30,185.2972,0.03473233,1.874429,3439
AMZN,14:35,185.2868,0.03480741,1.878571,3386
AMZN,14:40,185.2995,0.03470038,1.872615,3464
AMZN,14:45,185.2974,0.03464534,1.869729,3588
AMZN,14:50,185.2935,0.03499824,1.888803,3475
AMZN,14:55,185.3058,0.03566984,1.924919,3402
AMZN,15:00,185.3046,0.03481022,1.878575,3324
AMZN,15:05,185.3108,0.03515541,1.89709,3484
AMZN,15:10,185.3025,0.03501521,1.88968,3379
AMZN,15:15,185.2947,0.03522725,1.901144,3410
AMZN,15:20,185.2939,0.03475031,1.875394,3549
AMZN,15:25,185.303,0.03501559,1.88971,3473
AMZN,15:30,185.2957,0.03526266,1.903132,3550
AMZN,15:35,185.2996,0.03504548,1.89126,3490
AMZN,15:40,185.2973,0.03475988,1.875977,3391
AMZN,15:45,185.2821,0.03497973,1.887878,3489
AMZN,15:50,185.3094,0.03495932,1.886544,3625
AMZN,15:55,185.2944,0.03493538,1.885382,3470
AMZN,16:00,185.2989,0.03454672,1.864276,3443
AMZN,16:05,185.2915,0.03508232,1.893349,3533
AMZN,16:10,185.294,0.03501189,1.889527,3451
AMZN,16:15,185.3096,0.03501215,1.889405,3539
AMZN,16:20,185.3052,0.03505062,1.891585,3465
AMZN,16:25,185.3096,0.0350986,1.894031,3471
AMZN,16:30,185.2962,0.03485723,1.881162,3442
AMZN,16:35,185.3095,0.0347456,1.87507,3484
AMZN,16:40,185.3035,0.03488075,1.882403,3493
AMZN,16:45,185.3032,0.03497865,1.887663,3590
AMZN,16:50,185.3014,0.03525901,1.902814,3498
AMZN,16:55,185.307,0.03480104,1.878108,3446
AMZN,17:00,185.3118,0.03503522,1.890663,3547
AMZN,17:05,185.2966,0.03500267,1.889021,3442
AMZN,17:10,185.3121,0.0347996,1.8779,3511
AMZN,17:15,185.3122,0.03505847,1.891913,3604
AMZN,17:20,185.31,0.03484969,1.880594,3569
AMZN,17:25,185.2934,0.03502483,1.890265,3415
AMZN,17:30,185.2896,0.03445265,1.85943,3527
